Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Anthony Mantha (26069870),Anthony Mantha,26069870,W/UTIL,3200,WAS@NYR 12/27/2022 07:00PM ET,WAS,6.92
RW,Seth Jarvis (26069872),Seth Jarvis,26069872,W/UTIL,3200,CHI@CAR 12/27/2022 07:00PM ET,CAR,6.77
RW,Jack Quinn (26069876),Jack Quinn,26069876,W/UTIL,3200,BUF@CLS 12/27/2022 07:30PM ET,BUF,6.52
D,Mattias Samuelsson (26070396),Mattias Samuelsson,26070396,D/UTIL,3200,BUF@CLS 12/27/2022 07:30PM ET,BUF,6.86
D,Scott Mayfield (26070392),Scott Mayfield,26070392,D/UTIL,3200,PIT@NYI 12/27/2022 07:30PM ET,NYI,7.28
D,Nick Leddy (26070388),Nick Leddy,26070388,D/UTIL,3200,TOR@STL 12/27/2022 08:00PM ET,STL,5.01
D,Ryan McDonagh (26070394),Ryan McDonagh,26070394,D/UTIL,3200,DAL@NSH 12/27/2022 08:00PM ET,NSH,5.97
RW,Mason Appleton (26069874),Mason Appleton,26069874,W/UTIL,3200,MIN@WPG 12/27/2022 08:00PM ET,WPG,5.35
D,Jake Middleton (26070398),Jake Middleton,26070398,D/UTIL,3200,MIN@WPG 12/27/2022 08:00PM ET,MIN,5.64
C,Nick Bjugstad (26069542),Nick Bjugstad,26069542,C/UTIL,3200,COL@ARI 12/27/2022 09:00PM ET,ARI,6.4
D,Ethan Bear (26070390),Ethan Bear,26070390,D/UTIL,3200,SJ@VAN 12/27/2022 10:00PM ET,VAN,6.05
LW,Tyler Motte (26069886),Tyler Motte,26069886,W/UTIL,3100,BOS@OTT 12/27/2022 07:00PM ET,OTT,6.61
RW,Jimmy Vesey (26069884),Jimmy Vesey,26069884,W/UTIL,3100,WAS@NYR 12/27/2022 07:00PM ET,NYR,5.87
RW,Sam Lafferty (26069878),Sam Lafferty,26069878,W/UTIL,3100,CHI@CAR 12/27/2022 07:00PM ET,CHI,4.48
LW,Andreas Athanasiou (26069880),Andreas Athanasiou,26069880,W/UTIL,3100,CHI@CAR 12/27/2022 07:00PM ET,CHI,6.64
LW,Stefan Noesen (26069882),Stefan Noesen,26069882,W/UTIL,3100,CHI@CAR 12/27/2022 07:00PM ET,CAR,7.16
D,Erik Gudbranson (26070402),Erik Gudbranson,26070402,D/UTIL,3100,BUF@CLS 12/27/2022 07:30PM ET,CLS,7.14
D,Henri Jokiharju (26070408),Henri Jokiharju,26070408,D/UTIL,3100,BUF@CLS 12/27/2022 07:30PM ET,BUF,5.26
D,Esa Lindell (26070414),Esa Lindell,26070414,D/UTIL,3100,DAL@NSH 12/27/2022 08:00PM ET,DAL,6.81
C,Adam Lowry (26069544),Adam Lowry,26069544,C/UTIL,3100,MIN@WPG 12/27/2022 08:00PM ET,WPG,7.12
D,Dylan DeMelo (26070404),Dylan DeMelo,26070404,D/UTIL,3100,MIN@WPG 12/27/2022 08:00PM ET,WPG,5.53
D,Calen Addison (26070416),Calen Addison,26070416,D/UTIL,3100,MIN@WPG 12/27/2022 08:00PM ET,MIN,5.46
D,Cody Ceci (26070406),Cody Ceci,26070406,D/UTIL,3100,EDM@CGY 12/27/2022 09:00PM ET,EDM,5.22
D,Bowen Byram (26070400),Bowen Byram,26070400,D/UTIL,3100,COL@ARI 12/27/2022 09:00PM ET,COL,7.08
D,Jaycob Megna (26070410),Jaycob Megna,26070410,D/UTIL,3100,SJ@VAN 12/27/2022 10:00PM ET,SJ,5.34
D,Scott Harrington (26070412),Scott Harrington,26070412,D/UTIL,3100,SJ@VAN 12/27/2022 10:00PM ET,SJ,7.6
LW,Pavel Zacha (26069892),Pavel Zacha,26069892,W/UTIL,3000,BOS@OTT 12/27/2022 07:00PM ET,BOS,6.18
LW,Alexis Lafreniere (26069894),Alexis Lafreniere,26069894,W/UTIL,3000,WAS@NYR 12/27/2022 07:00PM ET,NYR,6.08
D,Nick Jensen (26070424),Nick Jensen,26070424,D/UTIL,3000,WAS@NYR 12/27/2022 07:00PM ET,WAS,7.49
D,K'Andre Miller (26070430),K'Andre Miller,26070430,D/UTIL,3000,WAS@NYR 12/27/2022 07:00PM ET,NYR,6.61
